date	B2C	B2B	Indicateurs	appelB2C	appelB2B	appelcasino	appelcdiscount	appellignedirecte	appeltunis	appelmaroc	id	appela	mois
44	0,87	1,35	Qualité de Prévision	305	302	114	111	80	80	80	Appels reçus	13/02/2020	février
45	1,25	1,12	Qualité de Prévision	275	293	111	91	73	73	73	Appels reçus	14/02/2020	février
46	0,97	1,42	Qualité de Prévision	307	276	119	111	77	77	77	Appels reçus	15/02/2020	février
47	1,01	1,08	Qualité de Prévision	281	305	132	94	55	55	55	Appels reçus	16/02/2020	février
48	1,38	1,33	Qualité de Prévision	297	216	135	95	67	67	67	Appels reçus	17/02/2020	février
49	1,28	1,23	Qualité de Prévision	298	270	137	98	63	63	63	Appels reçus	18/02/2020	février
50	1,26	0,92	Qualité de Prévision	301	243	128	112	61	61	61	Appels reçus	19/02/2020	février
51	0,56	1,41	Qualité de Prévision	281	214	110	94	77	77	77	Appels reçus	20/02/2020	février
52	1,16	1,45	Qualité de Prévision	283	234	105	98	80	80	80	Appels reçus	21/02/2020	février
53	1,13	0,95	Qualité de Prévision	312	235	139	103	70	70	70	Appels reçus	22/02/2020	février
54	1,3	1,32	Qualité de Prévision	298	252	115	110	73	73	73	Appels reçus	23/02/2020	février
55	1,14	1,49	Qualité de Prévision	293	303	145	98	50	50	50	Appels reçus	24/02/2020	février
56	1,26	0,74	Qualité de Prévision	298	258	126	96	76	76	76	Appels reçus	25/02/2020	février
57	0,85	1,05	Qualité de Prévision	321	258	141	100	80	80	80	Appels reçus	26/02/2020	février
58	1,32	1,39	Qualité de Prévision	288	269	116	101	71	71	71	Appels reçus	27/02/2020	février
59	0,51	0,55	Qualité de Prévision	308	230	141	104	63	63	63	Appels reçus	28/02/2020	février
60	1,2	1,31	Qualité de Prévision	279	290	109	106	64	64	64	Appels reçus	29/02/2020	février
61	0,79	0,86	Qualité de Prévision	282	282	127	100	55	55	55	Appels reçus	01/03/2020	mars
62	0,74	0,8	Qualité de Prévision	278	298	119	96	63	63	63	Appels reçus	02/03/2020	mars
63	1,04	1,31	Qualité de Prévision	317	262	134	118	65	65	65	Appels reçus	03/03/2020	mars
64	0,76	0,54	Qualité de Prévision	293	276	133	97	63	63	63	Appels reçus	04/03/2020	mars
65	0,79	0,73	Qualité de Prévision	298	266	110	115	73	73	73	Appels reçus	05/03/2020	mars
66	1,16	0,98	Qualité de Prévision	311	223	136	98	77	77	77	Appels reçus	06/03/2020	mars
67	0,53	0,81	Qualité de Prévision	295	214	102	116	77	77	77	Appels reçus	07/03/2020	mars
68	1,5	0,93	Qualité de Prévision	286	264	122	105	59	59	59	Appels reçus	08/03/2020	mars
69	1,23	1,25	Qualité de Prévision	266	255	106	94	66	66	66	Appels reçus	09/03/2020	mars
70	1	1,22	Qualité de Prévision	294	284	142	96	56	56	56	Appels reçus	10/03/2020	mars
71	0,72	0,73	Qualité de Prévision	292	283	118	118	56	56	56	Appels reçus	11/03/2020	mars
72	0,76	0,6	Qualité de Prévision	297	223	115	117	65	65	65	Appels reçus	12/03/2020	mars
73	1,44	0,8	Qualité de Prévision	283	305	114	119	50	50	50	Appels reçus	13/03/2020	mars
74	0,58	0,94	Qualité de Prévision	313	208	140	104	69	69	69	Appels reçus	14/03/2020	mars
75	1,11	1,16	Qualité de Prévision	296	238	131	101	64	64	64	Appels reçus	15/03/2020	mars
76	0,76	1,23	Qualité de Prévision	292	273	125	112	55	55	55	Appels reçus	16/03/2020	mars
77	0,68	0,63	Qualité de Prévision	287	297	106	104	77	77	77	Appels reçus	17/03/2020	mars
78	0,9	1,12	Qualité de Prévision	292	305	108	107	77	77	77	Appels reçus	18/03/2020	mars
79	1,27	1,45	Qualité de Prévision	269	209	102	98	69	69	69	Appels reçus	19/03/2020	mars
80	0,93	1,09	Qualité de Prévision	292	305	133	101	58	58	58	Appels reçus	20/03/2020	mars
81	0,89	1,23	Qualité de Prévision	319	265	134	105	80	80	80	Appels reçus	21/03/2020	mars
82	0,57	0,64	Qualité de Prévision	307	216	127	120	60	60	60	Appels reçus	22/03/2020	mars
83	0,93	1,5	Qualité de Prévision	252	256	105	97	50	50	50	Appels reçus	23/03/2020	mars
84	1,29	0,98	Qualité de Prévision	255	246	107	98	50	50	50	Appels reçus	24/03/2020	mars
85	1,32	1,37	Qualité de Prévision	288	268	107	104	77	77	77	Appels reçus	25/03/2020	mars
86	0,82	0,81	Qualité de Prévision	291	300	110	109	72	72	72	Appels reçus	26/03/2020	mars
87	0,57	0,77	Qualité de Prévision	313	243	145	92	76	76	76	Appels reçus	27/03/2020	mars
88	1,44	1,06	Qualité de Prévision	274	281	106	99	69	69	69	Appels reçus	28/03/2020	mars
89	1,13	0,5	Qualité de Prévision	324	225	127	118	79	79	79	Appels reçus	29/03/2020	mars
90	0,53	1,29	Qualité de Prévision	289	210	127	103	59	59	59	Appels reçus	30/03/2020	mars
91	0,78	1,21	Qualité de Prévision	300	289	138	93	69	69	69	Appels reçus	31/03/2020	mars
92	1,5	1,07	Qualité de Prévision	309	288	132	98	79	79	79	Appels reçus	01/04/2020	avril
93	1,1	0,55	Qualité de Prévision	294	264	124	91	79	79	79	Appels reçus	02/04/2020	avril
94	1,03	0,65	Qualité de Prévision	291	223	144	90	57	57	57	Appels reçus	03/04/2020	avril
95	0,66	0,88	Qualité de Prévision	301	245	129	112	60	60	60	Appels reçus	04/04/2020	avril
96	0,81	1,08	Qualité de Prévision	259	206	106	103	50	50	50	Appels reçus	05/04/2020	avril
97	0,51	0,78	Qualité de Prévision	315	258	143	108	64	64	64	Appels reçus	06/04/2020	avril
98	0,61	1,48	Qualité de Prévision	295	224	100	118	77	77	77	Appels reçus	07/04/2020	avril
99	0,6	0,96	Qualité de Prévision	312	300	137	99	76	76	76	Appels reçus	08/04/2020	avril
100	0,97	0,91	Qualité de Prévision	282	292	106	114	62	62	62	Appels reçus	09/04/2020	avril
101	1,5	1,16	Qualité de Prévision	294	288	136	99	59	59	59	Appels reçus	10/04/2020	avril
102	0,94	0,95	Qualité de Prévision	297	233	134	100	63	63	63	Appels reçus	11/04/2020	avril
103	1,33	1,36	Qualité de Prévision	279	275	113	111	55	55	55	Appels reçus	12/04/2020	avril
104	0,79	0,79	Qualité de Prévision	289	289	136	96	57	57	57	Appels reçus	13/04/2020	avril
105	1,42	0,64	Qualité de Prévision	323	237	137	118	68	68	68	Appels reçus	14/04/2020	avril
106	0,56	0,66	Qualité de Prévision	328	224	141	107	80	80	80	Appels reçus	15/04/2020	avril
107	0,78	1,45	Qualité de Prévision	284	255	112	97	75	75	75	Appels reçus	16/04/2020	avril
108	0,8	1,19	Qualité de Prévision	315	216	143	105	67	67	67	Appels reçus	17/04/2020	avril
109	0,93	1,45	Qualité de Prévision	288	242	110	104	74	74	74	Appels reçus	18/04/2020	avril
110	0,74	1,11	Qualité de Prévision	309	255	130	100	79	79	79	Appels reçus	19/04/2020	avril
111	1,42	0,66	Qualité de Prévision	289	234	113	102	74	74	74	Appels reçus	20/04/2020	avril
112	0,72	1,05	Qualité de Prévision	300	232	130	90	80	80	80	Appels reçus	21/04/2020	avril
113	1,26	0,76	Qualité de Prévision	315	257	144	96	75	75	75	Appels reçus	22/04/2020	avril
114	0,55	1,37	Qualité de Prévision	305	217	132	118	55	55	55	Appels reçus	23/04/2020	avril
115	1,41	1,31	Qualité de Prévision	302	270	145	92	65	65	65	Appels reçus	24/04/2020	avril
116	0,59	1,43	Qualité de Prévision	281	273	120	105	56	56	56	Appels reçus	25/04/2020	avril
117	0,93	1,24	Qualité de Prévision	325	288	135	110	80	80	80	Appels reçus	26/04/2020	avril
118	1,5	1,26	Qualité de Prévision	279	252	101	114	64	64	64	Appels reçus	27/04/2020	avril
119	0,8	1,25	Qualité de Prévision	311	250	136	108	67	67	67	Appels reçus	28/04/2020	avril
120	1,04	1,27	Qualité de Prévision	286	269	141	91	54	54	54	Appels reçus	29/04/2020	avril
121	0,66	1,37	Qualité de Prévision	278	249	103	100	75	75	75	Appels reçus	30/04/2020	avril
122	0,84	1,04	Qualité de Prévision	275	251	103	103	69	69	69	Appels reçus	01/05/2020	mai
123	0,65	0,92	Qualité de Prévision	312	238	135	103	74	74	74	Appels reçus	02/05/2020	mai
124	0,88	0,91	Qualité de Prévision	280	226	120	106	54	54	54	Appels reçus	03/05/2020	mai
125	1,06	0,79	Qualité de Prévision	267	280	115	100	52	52	52	Appels reçus	04/05/2020	mai
126	0,68	1,18	Qualité de Prévision	306	278	115	120	71	71	71	Appels reçus	05/05/2020	mai
127	0,78	0,94	Qualité de Prévision	269	292	107	110	52	52	52	Appels reçus	06/05/2020	mai
128	1,49	1,39	Qualité de Prévision	305	240	131	110	64	64	64	Appels reçus	07/05/2020	mai
129	1,46	0,74	Qualité de Prévision	311	267	134	117	60	60	60	Appels reçus	08/05/2020	mai
130	1,22	0,97	Qualité de Prévision	289	213	135	93	61	61	61	Appels reçus	09/05/2020	mai
131	1,28	1,01	Qualité de Prévision	284	212	137	97	50	50	50	Appels reçus	10/05/2020	mai
132	1,07	0,95	Qualité de Prévision	291	212	125	96	70	70	70	Appels reçus	11/05/2020	mai
133	1,4	1,41	Qualité de Prévision	304	227	113	120	71	71	71	Appels reçus	12/05/2020	mai
134	1,06	1,05	Qualité de Prévision	303	250	125	119	59	59	59	Appels reçus	13/05/2020	mai
135	1,39	0,68	Qualité de Prévision	283	303	115	96	72	72	72	Appels reçus	14/05/2020	mai
136	0,58	1,29	Qualité de Prévision	293	300	124	111	58	58	58	Appels reçus	15/05/2020	mai
137	0,57	1,27	Qualité de Prévision	290	230	108	113	69	69	69	Appels reçus	16/05/2020	mai
138	1,22	0,66	Qualité de Prévision	308	297	130	100	78	78	78	Appels reçus	17/05/2020	mai
139	1,28	0,65	Qualité de Prévision	289	232	113	111	65	65	65	Appels reçus	18/05/2020	mai
140	1,23	1,49	Qualité de Prévision	304	290	126	113	65	65	65	Appels reçus	19/05/2020	mai
141	1,25	0,85	Qualité de Prévision	284	275	130	96	58	58	58	Appels reçus	20/05/2020	mai
142	0,66	1,24	Qualité de Prévision	302	279	125	113	64	64	64	Appels reçus	21/05/2020	mai
143	1,15	0,81	Qualité de Prévision	302	236	120	108	74	74	74	Appels reçus	22/05/2020	mai
144	0,6	0,85	Qualité de Prévision	274	298	110	95	69	69	69	Appels reçus	23/05/2020	mai
145	1,39	0,94	Qualité de Prévision	304	227	120	106	78	78	78	Appels reçus	24/05/2020	mai
146	0,61	1,22	Qualité de Prévision	291	210	111	111	69	69	69	Appels reçus	25/05/2020	mai
147	1,42	0,77	Qualité de Prévision	279	254	112	107	60	60	60	Appels reçus	26/05/2020	mai
148	1,19	0,75	Qualité de Prévision	285	238	107	106	72	72	72	Appels reçus	27/05/2020	mai
149	1,09	0,68	Qualité de Prévision	278	227	100	111	67	67	67	Appels reçus	28/05/2020	mai
150	1,24	0,93	Qualité de Prévision	317	266	142	101	74	74	74	Appels reçus	29/05/2020	mai
151	1,05	1,11	Qualité de Prévision	296	212	133	94	69	69	69	Appels reçus	30/05/2020	mai
152	1,15	1,38	Qualité de Prévision	313	299	145	115	53	53	53	Appels reçus	31/05/2020	mai
153	1,18	0,97	Qualité de Prévision	287	244	109	120	58	58	58	Appels reçus	01/06/2020	juin
154	1,36	1,3	Qualité de Prévision	272	220	123	96	53	53	53	Appels reçus	02/06/2020	juin
155	1,16	0,74	Qualité de Prévision	287	250	138	90	59	59	59	Appels reçus	03/06/2020	juin
156	1,29	1,1	Qualité de Prévision	286	294	121	92	73	73	73	Appels reçus	04/06/2020	juin
157	0,89	0,51	Qualité de Prévision	275	290	103	106	66	66	66	Appels reçus	05/06/2020	juin
158	0,51	1,24	Qualité de Prévision	308	216	138	105	65	65	65	Appels reçus	06/06/2020	juin
159	0,99	0,75	Qualité de Prévision	316	232	130	111	75	75	75	Appels reçus	07/06/2020	juin
160	0,66	1,28	Qualité de Prévision	289	244	118	119	52	52	52	Appels reçus	08/06/2020	juin
161	0,68	1,04	Qualité de Prévision	285	217	126	104	55	55	55	Appels reçus	09/06/2020	juin
162	0,98	0,91	Qualité de Prévision	273	268	114	105	54	54	54	Appels reçus	10/06/2020	juin
163	1,18	0,9	Qualité de Prévision	269	227	111	102	56	56	56	Appels reçus	11/06/2020	juin
164	0,8	1,4	Qualité de Prévision	299	284	112	110	77	77	77	Appels reçus	12/06/2020	juin
165	1,03	1,01	Qualité de Prévision	317	223	127	111	79	79	79	Appels reçus	13/06/2020	juin
166	0,7	1,25	Qualité de Prévision	324	267	127	119	78	78	78	Appels reçus	14/06/2020	juin
167	0,96	1,21	Qualité de Prévision	315	208	120	115	80	80	80	Appels reçus	15/06/2020	juin
168	0,58	0,98	Qualité de Prévision	293	299	117	118	58	58	58	Appels reçus	16/06/2020	juin
169	1,28	0,91	Qualité de Prévision	276	240	117	106	53	53	53	Appels reçus	17/06/2020	juin
170	0,74	0,76	Qualité de Prévision	293	287	124	99	70	70	70	Appels reçus	18/06/2020	juin
171	1,46	1,5	Qualité de Prévision	300	277	130	99	71	71	71	Appels reçus	19/06/2020	juin
172	1,48	1,27	Qualité de Prévision	298	206	110	112	76	76	76	Appels reçus	20/06/2020	juin
173	0,86	1,21	Qualité de Prévision	286	228	112	112	62	62	62	Appels reçus	21/06/2020	juin
174	0,73	0,98	Qualité de Prévision	291	293	131	99	61	61	61	Appels reçus	22/06/2020	juin
175	0,9	0,69	Qualité de Prévision	272	239	112	103	57	57	57	Appels reçus	23/06/2020	juin
176	0,6	1,06	Qualité de Prévision	274	206	120	99	55	55	55	Appels reçus	24/06/2020	juin
177	1,24	0,78	Qualité de Prévision	256	278	101	92	63	63	63	Appels reçus	25/06/2020	juin
178	1,37	0,54	Qualité de Prévision	285	225	101	105	79	79	79	Appels reçus	26/06/2020	juin
179	0,71	0,69	Qualité de Prévision	329	269	135	116	78	78	78	Appels reçus	27/06/2020	juin
180	0,7	1,48	Qualité de Prévision	282	225	103	109	70	70	70	Appels reçus	28/06/2020	juin
181	0,71	0,51	Qualité de Prévision	265	255	100	93	72	72	72	Appels reçus	29/06/2020	juin
182	0,58	1,42	Qualité de Prévision	290	209	137	103	50	50	50	Appels reçus	30/06/2020	juin
183	0,71	0,52	Qualité de Prévision	280	262	125	104	51	51	51	Appels reçus	01/07/2020	juillet
184	1,22	0,54	Qualité de Prévision	305	240	120	113	72	72	72	Appels reçus	02/07/2020	juillet
185	1,26	1,01	Qualité de Prévision	280	261	102	103	75	75	75	Appels reçus	03/07/2020	juillet
186	0,59	0,54	Qualité de Prévision	322	274	144	109	69	69	69	Appels reçus	04/07/2020	juillet
187	0,86	0,96	Qualité de Prévision	260	236	108	92	60	60	60	Appels reçus	05/07/2020	juillet
188	1,05	1,41	Qualité de Prévision	287	289	122	109	56	56	56	Appels reçus	06/07/2020	juillet
189	0,81	1,27	Qualité de Prévision	320	254	142	100	78	78	78	Appels reçus	07/07/2020	juillet
190	1,18	1,24	Qualité de Prévision	306	298	135	111	60	60	60	Appels reçus	08/07/2020	juillet
191	0,75	0,62	Qualité de Prévision	299	216	136	99	64	64	64	Appels reçus	09/07/2020	juillet
192	1,41	0,66	Qualité de Prévision	320	249	136	117	67	67	67	Appels reçus	10/07/2020	juillet
193	1	1,24	Qualité de Prévision	274	224	130	94	50	50	50	Appels reçus	11/07/2020	juillet
194	1,14	1,45	Qualité de Prévision	258	251	102	95	61	61	61	Appels reçus	12/07/2020	juillet
195	1,21	1,19	Qualité de Prévision	316	232	118	119	79	79	79	Appels reçus	13/07/2020	juillet
196	1,18	0,78	Qualité de Prévision	304	234	120	117	67	67	67	Appels reçus	14/07/2020	juillet
197	1,41	1,24	Qualité de Prévision	264	206	101	97	66	66	66	Appels reçus	15/07/2020	juillet
198	1,49	0,51	Qualité de Prévision	312	297	131	119	62	62	62	Appels reçus	16/07/2020	juillet
199	0,57	1,09	Qualité de Prévision	276	235	110	115	51	51	51	Appels reçus	17/07/2020	juillet
200	0,57	0,53	Qualité de Prévision	286	248	139	91	56	56	56	Appels reçus	18/07/2020	juillet
201	1,07	1,34	Qualité de Prévision	276	254	118	104	54	54	54	Appels reçus	19/07/2020	juillet
202	1,46	1,17	Qualité de Prévision	318	230	133	108	77	77	77	Appels reçus	20/07/2020	juillet
203	1,24	0,96	Qualité de Prévision	303	232	133	97	73	73	73	Appels reçus	21/07/2020	juillet
204	0,79	0,78	Qualité de Prévision	265	207	106	99	60	60	60	Appels reçus	22/07/2020	juillet
205	0,94	0,97	Qualité de Prévision	334	223	136	120	78	78	78	Appels reçus	23/07/2020	juillet
206	1,27	1,49	Qualité de Prévision	288	250	111	108	69	69	69	Appels reçus	24/07/2020	juillet
207	0,56	1,38	Qualité de Prévision	315	269	128	119	68	68	68	Appels reçus	25/07/2020	juillet
208	0,96	1,47	Qualité de Prévision	290	207	136	103	51	51	51	Appels reçus	26/07/2020	juillet
209	1,13	0,97	Qualité de Prévision	290	224	102	113	75	75	75	Appels reçus	27/07/2020	juillet
210	0,8	1,36	Qualité de Prévision	263	271	102	95	66	66	66	Appels reçus	28/07/2020	juillet
211	1,11	0,72	Qualité de Prévision	315	296	130	119	66	66	66	Appels reçus	29/07/2020	juillet
212	1,15	1,17	Qualité de Prévision	287	232	105	120	62	62	62	Appels reçus	30/07/2020	juillet
213	1,05	0,85	Qualité de Prévision	273	278	123	100	50	50	50	Appels reçus	31/07/2020	juillet
214	1,27	1,41	Qualité de Prévision	317	210	126	120	71	71	71	Appels reçus	01/08/2020	août
215	0,94	0,57	Qualité de Prévision	317	210	143	94	80	80	80	Appels reçus	02/08/2020	août
216	1,23	1,21	Qualité de Prévision	295	262	123	105	67	67	67	Appels reçus	03/08/2020	août
217	1,13	1,42	Qualité de Prévision	302	211	141	106	55	55	55	Appels reçus	04/08/2020	août
218	1,41	0,87	Qualité de Prévision	267	269	110	90	67	67	67	Appels reçus	05/08/2020	août
219	0,9	0,84	Qualité de Prévision	276	272	109	117	50	50	50	Appels reçus	06/08/2020	août
220	1,12	1,11	Qualité de Prévision	299	210	113	116	70	70	70	Appels reçus	07/08/2020	août
221	0,68	0,68	Qualité de Prévision	291	253	110	111	70	70	70	Appels reçus	08/08/2020	août
222	1,47	1,28	Qualité de Prévision	284	216	103	109	72	72	72	Appels reçus	09/08/2020	août
223	1,09	0,53	Qualité de Prévision	320	295	143	107	70	70	70	Appels reçus	10/08/2020	août
224	0,66	0,88	Qualité de Prévision	278	238	104	96	78	78	78	Appels reçus	11/08/2020	août
225	0,81	0,82	Qualité de Prévision	279	212	115	107	57	57	57	Appels reçus	12/08/2020	août
226	0,73	1,42	Qualité de Prévision	303	276	120	108	75	75	75	Appels reçus	13/08/2020	août
227	1,22	0,63	Qualité de Prévision	261	208	101	103	57	57	57	Appels reçus	14/08/2020	août
228	0,83	1,08	Qualité de Prévision	302	231	110	118	74	74	74	Appels reçus	15/08/2020	août
229	1,46	0,62	Qualité de Prévision	283	235	113	100	70	70	70	Appels reçus	16/08/2020	août
230	1,12	0,72	Qualité de Prévision	312	274	142	115	55	55	55	Appels reçus	17/08/2020	août
231	1,17	1,08	Qualité de Prévision	298	250	121	110	67	67	67	Appels reçus	18/08/2020	août
232	0,92	1,32	Qualité de Prévision	303	290	112	111	80	80	80	Appels reçus	19/08/2020	août
233	0,85	0,89	Qualité de Prévision	280	232	121	92	67	67	67	Appels reçus	20/08/2020	août
234	1,21	1,39	Qualité de Prévision	292	296	129	111	52	52	52	Appels reçus	21/08/2020	août
235	1,07	1,09	Qualité de Prévision	291	300	117	113	61	61	61	Appels reçus	22/08/2020	août
236	1,31	1,37	Qualité de Prévision	295	238	116	110	69	69	69	Appels reçus	23/08/2020	août
237	0,86	0,72	Qualité de Prévision	289	229	106	117	66	66	66	Appels reçus	24/08/2020	août
238	1,07	0,69	Qualité de Prévision	289	247	121	118	50	50	50	Appels reçus	25/08/2020	août
239	0,76	0,57	Qualité de Prévision	287	287	115	95	77	77	77	Appels reçus	26/08/2020	août
240	1,28	1,1	Qualité de Prévision	297	214	126	106	65	65	65	Appels reçus	27/08/2020	août
241	1,19	0,81	Qualité de Prévision	283	227	101	120	62	62	62	Appels reçus	28/08/2020	août
242	0,69	0,74	Qualité de Prévision	312	207	138	105	69	69	69	Appels reçus	29/08/2020	août
243	0,71	1,17	Qualité de Prévision	287	285	104	111	72	72	72	Appels reçus	30/08/2020	août
244	1,25	0,55	Qualité de Prévision	308	210	121	120	67	67	67	Appels reçus	31/08/2020	août
245	0,79	0,9	Qualité de Prévision	309	208	142	94	73	73	73	Appels reçus	01/09/2020	septembre
246	1,34	1,45	Qualité de Prévision	305	218	143	96	66	66	66	Appels reçus	02/09/2020	septembre
247	1,06	0,5	Qualité de Prévision	308	292	135	109	64	64	64	Appels reçus	03/09/2020	septembre
248	1,21	1,09	Qualité de Prévision	314	288	123	111	80	80	80	Appels reçus	04/09/2020	septembre
249	0,89	0,56	Qualité de Prévision	299	262	126	116	57	57	57	Appels reçus	05/09/2020	septembre
250	0,84	0,63	Qualité de Prévision	302	249	136	107	59	59	59	Appels reçus	06/09/2020	septembre
251	0,59	0,52	Qualité de Prévision	309	265	116	113	80	80	80	Appels reçus	07/09/2020	septembre
252	0,73	0,76	Qualité de Prévision	289	222	107	115	67	67	67	Appels reçus	08/09/2020	septembre
1	0,98	0,98	Qualité de Service	264	221	122	99	43	43	43	Appels traités	01/01/2020	janvier
2	0,63	0,63	Qualité de Service	283	220	126	98	59	59	59	Appels traités	02/01/2020	janvier
3	0,68	0,68	Qualité de Service	277	219	110	100	67	67	67	Appels traités	03/01/2020	janvier
4	0,71	0,71	Qualité de Service	266	218	111	90	65	65	65	Appels traités	04/01/2020	janvier
5	0,84	0,84	Qualité de Service	281	217	125	105	51	51	51	Appels traités	05/01/2020	janvier
6	0,81	0,81	Qualité de Service	258	216	98	104	56	56	56	Appels traités	06/01/2020	janvier
7	0,69	0,69	Qualité de Service	249	215	94	96	59	59	59	Appels traités	07/01/2020	janvier
8	0,57	0,57	Qualité de Service	243	214	102	88	53	53	53	Appels traités	08/01/2020	janvier
9	0,62	0,62	Qualité de Service	263	213	105	95	63	63	63	Appels traités	09/01/2020	janvier
10	0,75	0,75	Qualité de Service	273	212	133	86	54	54	54	Appels traités	10/01/2020	janvier
11	0,92	0,92	Qualité de Service	285	211	131	107	47	47	47	Appels traités	11/01/2020	janvier
12	0,5	0,5	Qualité de Service	248	210	92	110	46	46	46	Appels traités	12/01/2020	janvier
13	0,78	0,78	Qualité de Service	282	209	111	103	68	68	68	Appels traités	13/01/2020	janvier
14	0,5	0,5	Qualité de Service	267	208	117	106	44	44	44	Appels traités	14/01/2020	janvier
15	1	1	Qualité de Service	235	207	94	98	43	43	43	Appels traités	15/01/2020	janvier
16	0,8	0,8	Qualité de Service	262	206	102	99	61	61	61	Appels traités	16/01/2020	janvier
17	0,91	0,91	Qualité de Service	256	205	90	102	64	64	64	Appels traités	17/01/2020	janvier
18	0,68	0,68	Qualité de Service	243	204	96	99	48	48	48	Appels traités	18/01/2020	janvier
19	0,64	0,64	Qualité de Service	299	203	134	100	65	65	65	Appels traités	19/01/2020	janvier
20	1	1	Qualité de Service	223	202	96	87	40	40	40	Appels traités	20/01/2020	janvier
